customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,1.0,1.0,ACTIVE,Regularly,32.0,8d6f45050876d059c830a0fe63f1a4c022de279bb68ce312615afb86814fec7a
00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,,,ACTIVE,NONE,29.0,24e3594738f327e8a7671ec6d1e18b308fb0282e1f7e23839320ba0effdab790
0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,1.0,1.0,ACTIVE,Regularly,50.0,860a370c01b1eeebe3f3c78241f3236c79b0c41669c19e31ebcfbdb30eab0116
000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,,,ACTIVE,NONE,22.0,6d98a3ca1370c33de04f4a0c2e81cd9c9e36d9501ca6dc9f25a2a445a23f81ba
001127bffdda108579e6cb16080440e89bf1250a776c6e55f56e35e9ee029a8d,,,ACTIVE,NONE,26.0,4845d19cdb5e363f52a5d9899ff2354fb39229c46824e4917b07bc5a44fe6868
001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,,,ACTIVE,NONE,25.0,63c82aec4da25b6b5f967abe4e17d112b24e53643e916df053c5e30752d8ee28
001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,,,ACTIVE,NONE,53.0,ad36d566f461bead333901eb0f36a7fca1f86cac0e4f9fdc1da70a7ebb0eb5be
00228762ecff5b8d1ea6a2e52b96dafa198febddbc3bf350eb611f28e61ea6ce,1.0,1.0,ACTIVE,Regularly,45.0,8e5c15916e743c79c702d7ac2d4ce14ec3c85f21686b31bd023fbb22d6b09108
002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9,,,ACTIVE,NONE,38.0,17453ea79bc8f99f3e991b213bf26da9be55693bad8d13dd49617ddca0ba9b31
003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac,1.0,1.0,ACTIVE,Regularly,27.0,912c9cbf173a762563e8bee83a7f18c51a7e300c78b626f124c288df0f7ed0b8
004888668b9458668aa3234d17337671673599f7f84d36f77fd366b5139058c5,1.0,1.0,ACTIVE,Regularly,23.0,063afae71598c3518f621e4a1224fef11de39f938d2d860bc5444bda9e619a5f
0051a1d00ec9a4ff1a2f9aa32a4bb054cc9ba08e80be590aec39391ff3dc56e8,,,ACTIVE,NONE,20.0,c3824b43ed1c04211ba10a36b60568265c3d470886cb61e09efe3ed52215ec9b
005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,,,ACTIVE,NONE,46.0,3d808c7a18eb8f34287f4c77056ef7ef051ab84422c9e7b6d755956725b553bd
00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,,,ACTIVE,NONE,28.0,0c5d2713506f601420dfb9184cff94fb78e97d1a0887c0e70a2348058e078034
