Customer ID: 00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 32.0 years.
Customer ID: 00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 50.0 years.
Customer ID: 000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 22.0 years.
Customer ID: 001127bffdda108579e6cb16080440e89bf1250a776c6e55f56e35e9ee029a8d, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 00228762ecff5b8d1ea6a2e52b96dafa198febddbc3bf350eb611f28e61ea6ce, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 45.0 years.
Customer ID: 002b3c0a44a22c45a8d62ea9d2b88d1a89e335f8b8400335a85c3b5845794cb9, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 38.0 years.
Customer ID: 003ac6eff3ca20cbe4e14a106a5e28b7551616005de8f9dd0f9455e5543b31ac, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 27.0 years.
Customer ID: 004888668b9458668aa3234d17337671673599f7f84d36f77fd366b5139058c5, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
